crse_id,crse_attr,crse_attr_lov_descr,crse_attr_value,crse_attr_value_lov_descr
015756,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
015756,REG,Registration Considerations,C,Crosslisted in another department
015756,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
015756,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
015756,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
015756,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
016026,REG,Registration Considerations,C,Crosslisted in another department
016026,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
016026,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
016026,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
016234,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
016236,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
016411,REG,Registration Considerations,C,Crosslisted in another department
017498,REG,Registration Considerations,C,Crosslisted in another department
017498,REG,Registration Considerations,FEE,Additional Fee Required
017498,TRIN,A&S Curriculum,CE,(CE) Creating & Engaging with Art: A&S Curriculum
017885,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
017885,REG,Registration Considerations,C,Crosslisted in another department
017885,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
017885,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
018286,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
018286,REG,Registration Considerations,C,Crosslisted in another department
018286,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
018580,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
018580,REG,Registration Considerations,C,Crosslisted in another department
018580,TRIN,A&S Curriculum,HI,(HI) Humanistic Inquiry: A&S Curriculum
018580,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
018837,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
018837,REG,Registration Considerations,C,Crosslisted in another department
018837,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
018854,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
018854,REG,Registration Considerations,C,Crosslisted in another department
018854,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
018854,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
018855,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
018855,REG,Registration Considerations,C,Crosslisted in another department
018855,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
018855,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
018888,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
018888,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
018888,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
018888,REG,Registration Considerations,C,Crosslisted in another department
018888,TRIN,A&S Curriculum,HI,(HI) Humanistic Inquiry: A&S Curriculum
018888,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
018888,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
019142,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
019142,REG,Registration Considerations,C,Crosslisted in another department
019142,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
019142,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
019171,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
019171,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
019171,REG,Registration Considerations,C,Crosslisted in another department
019171,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
019171,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
019367,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
019367,CURR,Curriculum-Modes of Inquiry,STS,"(STS) Science, Technology, and Society"
019367,REG,Registration Considerations,C,Crosslisted in another department
019367,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
019367,TRIN,A&S Curriculum,NW,(NW) Investigating Natural World: A&S Curriculum
019367,USE,Curriculum-Areas of Knowledge,NS,(NS) Natural Sciences
019367,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
019733,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
019733,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
019733,REG,Registration Considerations,C,Crosslisted in another department
019733,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
019733,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
019733,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
020070,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
020070,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
020070,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
020070,REG,Registration Considerations,C,Crosslisted in another department
020070,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
020070,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
020070,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
020130,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
020130,REG,Registration Considerations,C,Crosslisted in another department
020130,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
020130,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
020148,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
020148,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
020148,CURR,Curriculum-Modes of Inquiry,STS,"(STS) Science, Technology, and Society"
020148,REG,Registration Considerations,C,Crosslisted in another department
020148,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
020148,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
020213,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
020213,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
020213,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
020213,REG,Registration Considerations,C,Crosslisted in another department
020213,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
020213,TRIN,A&S Curriculum,WR,(WR) Writing: A&S Curriculum
020213,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
020222,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
020222,REG,Registration Considerations,C,Crosslisted in another department
020222,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
020222,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
020263,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
020263,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
020263,REG,Registration Considerations,C,Crosslisted in another department
020263,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
020263,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
020491,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
020491,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
020491,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
020491,REG,Registration Considerations,C,Crosslisted in another department
020491,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
020601,REG,Registration Considerations,C,Crosslisted in another department
020601,TRIN,A&S Curriculum,HI,(HI) Humanistic Inquiry: A&S Curriculum
020601,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
021332,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
021332,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
021332,CURR,Curriculum-Modes of Inquiry,STS,"(STS) Science, Technology, and Society"
021332,REG,Registration Considerations,C,Crosslisted in another department
021332,TRIN,A&S Curriculum,HI,(HI) Humanistic Inquiry: A&S Curriculum
021332,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
021332,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
021427,REG,Registration Considerations,C,Crosslisted in another department
021427,TRIN,A&S Curriculum,HI,(HI) Humanistic Inquiry: A&S Curriculum
021427,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
021427,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
021518,REG,Registration Considerations,C,Crosslisted in another department
021779,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
022147,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
022147,REG,Registration Considerations,C,Crosslisted in another department
022147,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
022147,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
022147,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
022165,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
022165,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
022165,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
022165,REG,Registration Considerations,C,Crosslisted in another department
022165,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
022165,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
022165,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
022235,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
022235,REG,Registration Considerations,C,Crosslisted in another department
022235,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
022235,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
022235,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
022238,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
022238,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
022238,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
022238,REG,Registration Considerations,C,Crosslisted in another department
022238,REG,Registration Considerations,TR,Travel Required
022238,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
022238,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
022239,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
022239,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
022239,REG,Registration Considerations,C,Crosslisted in another department
022239,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
022477,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
022477,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
022477,REG,Registration Considerations,C,Crosslisted in another department
022477,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
022531,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
022531,REG,Registration Considerations,C,Crosslisted in another department
022531,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
022531,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
022532,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
022532,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
022532,REG,Registration Considerations,C,Crosslisted in another department
022532,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
022532,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
022532,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
022535,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
022535,REG,Registration Considerations,C,Crosslisted in another department
022535,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
022535,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
022576,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
022576,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
022576,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
022576,REG,Registration Considerations,C,Crosslisted in another department
022576,TRIN,A&S Curriculum,HI,(HI) Humanistic Inquiry: A&S Curriculum
022576,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
022918,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
022918,REG,Registration Considerations,C,Crosslisted in another department
022918,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
022918,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
022920,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
022920,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
022920,REG,Registration Considerations,C,Crosslisted in another department
022920,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
022920,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
022926,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
022926,REG,Registration Considerations,C,Crosslisted in another department
022926,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
022926,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
022931,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
022931,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
022931,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
022931,REG,Registration Considerations,C,Crosslisted in another department
022931,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
022931,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
022931,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
023219,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
023219,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
023219,REG,Registration Considerations,C,Crosslisted in another department
023219,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
023219,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
023220,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
023220,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
023220,REG,Registration Considerations,C,Crosslisted in another department
023220,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
023220,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
023220,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
023333,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
023333,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
023333,CURR,Curriculum-Modes of Inquiry,STS,"(STS) Science, Technology, and Society"
023333,REG,Registration Considerations,C,Crosslisted in another department
023333,TRIN,A&S Curriculum,IJ,"(IJ) Institutions, Justice & Power: A&S Curriculum"
023333,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
023333,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
023396,REG,Registration Considerations,C,Crosslisted in another department
023545,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
023545,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
023545,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
023545,REG,Registration Considerations,C,Crosslisted in another department
023545,TRIN,A&S Curriculum,SB,(SB) Social & Behavioral Analysis: A&S Curriculum
023545,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
023545,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
023571,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
023571,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
023571,REG,Registration Considerations,C,Crosslisted in another department
023571,USE,Curriculum-Areas of Knowledge,SS,(SS) Social Sciences
023652,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
023652,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
023652,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
023652,REG,Registration Considerations,C,Crosslisted in another department
023652,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
023652,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
023784,REG,Registration Considerations,C,Crosslisted in another department
023879,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
023879,CURR,Curriculum-Modes of Inquiry,EI,(EI) Ethical Inquiry
023879,REG,Registration Considerations,C,Crosslisted in another department
023879,USE,Curriculum-Areas of Knowledge,ALP,"(ALP) Arts, Literature & Performance"
023879,USE,Curriculum-Areas of Knowledge,CZ,(CZ) Civilizations
023887,CURR,Curriculum-Modes of Inquiry,CCI,(CCI) Cross Cultural Inquiry
023887,CURR,Curriculum-Modes of Inquiry,R,Check for additional times
023887,CURR,Curriculum-Modes of Inquiry,W,MCNC Course
023887,REG,Registration Considerations,C,Crosslisted in another department
